ID,Joining Date,Account Type,Date of Birth,Ethnicity
202437,10/29/2023,Platinum,12/30/1976,Other
202785,6/8/2023,Platinum,9/11/1948,Black
202946,6/18/2023,Gold,9/16/1960,Black
203783,2/24/2023,Platinum,7/10/1975,Black
203942,12/28/2023,Gold,8/27/2016,Asian
206041,10/13/2023,Gold,10/18/2010,White
207622,9/22/2023,Platinum,12/29/1959,White
209144,5/2/2023,Basic,11/22/1948,Black
210727,7/25/2023,Platinum,4/6/1968,White
210741,5/15/2023,Gold,1/8/1985,White
211683,7/2/2023,Basic,9/4/2005,Other
212028,9/8/2023,Basic,2/19/2008,White
212881,7/16/2023,Platinum,3/19/2002,Black
213378,9/15/2023,Basic,7/3/1987,Black
213994,10/29/2023,Gold,4/16/1961,White
214055,6/21/2023,Basic,12/4/1976,Asian
215044,5/9/2023,Basic,9/11/2011,White
217393,7/24/2023,Platinum,10/29/1947,Asian
217539,10/29/2023,Basic,7/3/1954,White
219792,5/12/2023,Gold,4/21/2003,Black
220298,11/12/2023,Gold,7/5/1978,Asian
220423,7/4/2023,Platinum,5/23/1940,Other
221128,6/29/2023,Basic,8/16/1978,Black
221229,3/13/2023,Platinum,2/26/1965,White
221238,11/1/2023,Platinum,12/28/1940,Other
222493,8/2/2023,Platinum,12/6/1941,Asian
222775,9/30/2023,Basic,11/30/1960,White
222860,5/23/2023,Basic,2/11/2012,Black
223660,6/28/2023,Gold,10/20/1986,White
223982,1/4/2023,Gold,8/12/1956,White
224213,11/27/2023,Platinum,1/17/1992,Other
226852,4/14/2023,Platinum,2/24/2017,Black
226854,12/7/2023,Gold,8/3/1988,White
228463,7/19/2023,Gold,11/20/2011,Other
228495,9/8/2023,Basic,4/7/2006,Other
228727,9/6/2023,Platinum,3/29/1964,Other
229517,10/20/2023,Platinum,5/26/1969,Asian
230685,12/21/2023,Platinum,2/17/1961,Other
232108,12/10/2023,Gold,1/24/2009,Asian
232704,9/17/2023,Gold,10/20/1956,Black
234458,6/27/2023,Basic,5/29/2010,White
234964,10/10/2023,Platinum,9/14/1962,Other
235138,11/15/2023,Platinum,4/23/1967,Asian
236432,2/20/2023,Basic,10/13/1957,White
237507,12/2/2023,Basic,4/6/1944,Black
238622,10/20/2023,Gold,10/27/1995,Asian
239484,2/6/2023,Gold,5/1/1999,Other
239922,5/15/2023,Basic,10/31/1989,Asian
239999,8/10/2023,Platinum,9/7/1988,Black
242782,7/3/2023,Platinum,11/4/1942,Other
245830,7/6/2023,Basic,9/2/1972,Asian
246208,1/4/2023,Platinum,9/11/1996,White
247253,2/21/2023,Gold,9/26/1987,Asian
248371,3/1/2023,Gold,12/30/1979,Asian
248692,5/1/2023,Basic,3/10/1949,Black
250381,3/26/2023,Platinum,5/18/1945,Other
251536,10/6/2023,Basic,5/14/1957,Asian
252873,9/17/2023,Basic,2/17/1946,Other
253467,2/5/2023,Basic,7/29/1984,Asian
253699,8/23/2023,Gold,12/31/1954,Other
255005,4/8/2023,Basic,1/4/1941,White
255988,3/24/2023,Basic,6/7/2017,Asian
256154,7/12/2023,Gold,3/30/1957,Asian
256547,8/30/2023,Gold,8/21/2013,Black
258885,3/12/2023,Basic,3/16/1943,Black
259388,10/15/2023,Platinum,8/29/1984,Black
260096,11/20/2023,Basic,1/10/1955,Black
261620,5/7/2023,Gold,7/30/1990,Black
261886,10/13/2023,Basic,5/23/1974,Asian
263796,2/24/2023,Gold,2/10/1952,White
264065,3/30/2023,Platinum,12/8/1975,Other
268478,8/31/2023,Gold,6/14/1952,Black
268700,12/4/2023,Gold,10/5/2008,White
269274,8/28/2023,Platinum,1/8/2000,White
270858,12/21/2023,Basic,8/24/2004,Black
271167,12/15/2023,Platinum,5/23/1944,Asian
271529,11/21/2023,Platinum,7/10/2012,Asian
271596,11/30/2023,Gold,9/10/2000,White
272178,9/28/2023,Gold,3/3/1985,White
273251,8/9/2023,Basic,3/23/1963,Asian
274486,9/11/2023,Gold,4/11/2010,White
276875,1/14/2023,Gold,8/27/1989,Black
279177,11/7/2023,Basic,2/26/1967,White
280225,5/14/2023,Platinum,8/25/1996,Asian
282672,4/9/2023,Platinum,7/20/1991,Black
284005,4/5/2023,Basic,7/2/1992,Asian
285157,4/21/2023,Gold,1/16/2010,Asian
285333,12/8/2023,Gold,3/22/1948,Other
285733,10/16/2023,Gold,5/19/2000,Black
285940,4/2/2023,Platinum,6/3/2017,Black
287144,3/23/2023,Platinum,9/25/1976,White
287391,2/6/2023,Platinum,11/25/1954,Other
287844,4/8/2023,Basic,2/15/1952,Other
290840,2/14/2023,Gold,8/3/2001,Asian
293145,5/29/2023,Gold,8/7/1989,Black
293767,10/7/2023,Platinum,1/16/2018,Asian
293881,10/29/2023,Basic,3/10/1963,Black
296100,3/19/2023,Gold,10/22/1991,Other
296948,5/21/2023,Platinum,12/10/1986,Black
298919,6/3/2023,Platinum,7/17/2008,Asian
300208,5/11/2023,Gold,4/3/2008,White
302454,6/19/2023,Platinum,7/25/2018,Asian
302917,4/24/2023,Gold,5/3/1955,Other
303669,2/18/2023,Basic,1/3/2016,Black
304982,6/25/2023,Platinum,4/8/1979,Other
305736,12/16/2023,Basic,8/15/1978,Asian
305931,2/9/2023,Platinum,10/1/2011,Other
306044,7/28/2023,Platinum,5/13/1993,Asian
306487,1/14/2023,Basic,6/26/1970,Black
306535,7/13/2023,Basic,12/23/1977,Asian
306981,12/7/2023,Basic,1/27/1983,Other
307727,9/20/2023,Basic,1/6/1972,Other
307769,2/16/2023,Gold,7/26/1981,White
311054,11/26/2023,Gold,11/21/1956,Black
311336,6/22/2023,Platinum,11/12/2018,Black
311919,1/4/2023,Gold,6/26/1961,Other
312324,8/28/2023,Gold,8/13/2016,White
312371,3/17/2023,Gold,6/28/2019,Asian
312962,11/1/2023,Gold,7/12/1978,White
313159,2/27/2023,Platinum,9/23/2008,White
314042,1/5/2023,Platinum,12/26/1986,Asian
314233,9/9/2023,Platinum,12/16/2018,Asian
314848,12/14/2023,Gold,11/30/2015,Asian
314876,9/29/2023,Basic,2/13/2013,Asian
314997,6/23/2023,Gold,7/31/2001,Other
315439,2/9/2023,Basic,5/23/1999,White
316468,7/23/2023,Gold,9/22/1963,Asian
316875,3/31/2023,Basic,3/7/1992,Other
319191,5/7/2023,Platinum,12/16/2010,Other
319351,9/1/2023,Gold,8/11/1961,Black
319379,9/15/2023,Gold,5/6/1974,Other
322646,2/27/2023,Basic,2/24/1956,Asian
325644,6/24/2023,Basic,3/20/1995,White
325886,9/14/2023,Gold,5/19/1941,Asian
326497,10/11/2023,Basic,4/24/2013,Black
327751,4/27/2023,Platinum,4/26/1984,Asian
332370,8/21/2023,Basic,10/26/2002,White
333873,8/16/2023,Platinum,8/31/1994,Black
334199,12/5/2023,Gold,5/11/2003,White
335173,11/11/2023,Gold,1/28/1942,White
336329,6/28/2023,Platinum,1/23/1947,White
336949,2/27/2023,Platinum,12/20/1976,White
338686,6/25/2023,Gold,12/17/1979,White
339084,6/27/2023,Platinum,10/6/1963,Asian
339282,9/16/2023,Basic,10/31/1968,Other
339687,4/9/2023,Basic,11/29/1946,White
340036,8/25/2023,Gold,10/16/1952,Other
340059,4/6/2023,Basic,1/24/2004,White
341542,10/3/2023,Gold,12/26/1984,Black
343327,12/5/2023,Gold,6/12/1949,Asian
343987,6/25/2023,Gold,7/31/2010,Other
344685,3/10/2023,Gold,1/6/1990,Asian
344841,7/30/2023,Basic,12/9/2002,White
345349,6/26/2023,Basic,2/22/2013,Black
345518,11/23/2023,Platinum,12/22/1994,Black
346957,10/14/2023,Platinum,12/29/1990,Asian
347274,4/9/2023,Basic,6/17/1993,Black
349244,6/3/2023,Basic,1/18/2007,Asian
349505,1/3/2023,Basic,9/13/1961,White
350315,8/31/2023,Gold,4/11/2014,Black
350952,9/10/2023,Basic,5/14/1997,Black
352431,10/31/2023,Basic,12/2/1970,Asian
352584,5/16/2023,Basic,6/13/2000,Black
353144,12/19/2023,Gold,12/8/2019,Other
354147,12/20/2023,Gold,4/14/2019,Black
356495,9/20/2023,Platinum,2/2/1981,White
366023,5/2/2023,Basic,1/1/1986,Asian
366251,5/22/2023,Gold,8/28/1963,Other
366334,2/5/2023,Platinum,10/15/1996,Other
367467,4/30/2023,Platinum,1/24/2019,Asian
367979,5/18/2023,Basic,9/15/1983,Black
368497,9/28/2023,Basic,7/29/1991,Other
369221,1/18/2023,Platinum,3/4/2019,Black
369873,6/10/2023,Gold,9/8/1972,Black
371271,10/25/2023,Basic,8/28/2001,Other
371550,2/2/2023,Basic,8/20/2004,Black
372488,4/20/2023,Basic,7/13/1974,Other
373223,3/29/2023,Basic,11/12/1985,Asian
374944,8/25/2023,Basic,3/20/1965,Black
375824,2/10/2023,Platinum,7/5/1978,Other
375840,9/17/2023,Gold,3/8/1963,Asian
376499,12/6/2023,Platinum,1/27/1969,Asian
378506,8/26/2023,Basic,7/8/1968,Other
381217,4/28/2023,Basic,8/5/1962,White
381269,11/1/2023,Gold,7/15/1983,Black
382180,9/16/2023,Platinum,12/14/1975,Other
382490,4/28/2023,Gold,11/6/1997,Other
383716,9/27/2023,Platinum,6/22/2000,Asian
385445,4/19/2023,Basic,1/29/1957,Black
385540,9/30/2023,Gold,2/1/1943,White
385704,4/24/2023,Basic,1/1/1987,White
388013,10/27/2023,Gold,7/13/2018,Black
390727,11/4/2023,Basic,10/9/1972,Asian
391064,9/23/2023,Gold,9/7/1959,Other
393185,3/5/2023,Gold,8/11/1967,Black
394262,4/6/2023,Basic,8/29/1961,Other
397269,5/3/2023,Platinum,6/8/2001,Other
397552,6/11/2023,Gold,10/31/1941,Other
398707,8/22/2023,Gold,5/3/2012,Black
399130,2/28/2023,Basic,7/4/1958,Asian
401721,10/8/2023,Platinum,12/15/1955,Other
402150,4/19/2023,Platinum,10/14/1970,Other
402835,8/27/2023,Platinum,5/25/1941,Other
405774,10/5/2023,Gold,8/11/1993,Asian
405909,4/13/2023,Platinum,8/27/1979,Asian
410607,11/3/2023,Gold,3/8/1958,Asian
413196,3/4/2023,Platinum,10/1/1974,White
414182,8/30/2023,Gold,1/24/1973,White
415677,3/11/2023,Basic,3/31/2008,Black
415762,10/20/2023,Basic,11/3/1949,Black
415942,7/22/2023,Basic,9/16/1947,Asian
418614,2/22/2023,Gold,11/17/2013,White
419675,7/27/2023,Gold,6/19/1965,Black
421873,4/13/2023,Gold,5/8/1969,Other
421991,12/17/2023,Gold,9/9/1942,Other
422091,8/20/2023,Gold,3/9/2001,Asian
423343,10/27/2023,Basic,7/25/1947,White
423637,10/30/2023,Basic,1/30/1941,Other
424911,7/16/2023,Platinum,3/21/1947,Asian
425443,8/4/2023,Platinum,7/17/1977,Black
426503,2/26/2023,Platinum,9/3/2009,Other
426552,5/24/2023,Gold,9/13/1995,White
427577,1/10/2023,Basic,1/6/1971,Asian
428393,7/14/2023,Basic,5/12/2008,Black
428406,9/2/2023,Basic,8/8/1972,Asian
428431,12/9/2023,Basic,4/27/1993,Other
429112,2/8/2023,Basic,11/20/1993,Black
429752,3/2/2023,Platinum,11/15/1945,Asian
430823,2/27/2023,Gold,11/22/1986,White
430898,6/11/2023,Basic,5/4/1947,Other
431328,4/27/2023,Platinum,5/30/1970,Black
431391,2/2/2023,Basic,4/25/1980,Other
433632,5/1/2023,Platinum,9/27/1992,White
435013,10/18/2023,Basic,9/1/1998,Black
435115,8/26/2023,Basic,2/7/2012,Other
435231,2/11/2023,Gold,1/2/2012,Black
436308,6/24/2023,Basic,10/3/1959,White
436544,2/11/2023,Basic,4/10/2013,Black
439709,10/5/2023,Basic,8/21/2009,Other
440691,2/16/2023,Basic,7/2/2013,White
441581,12/1/2023,Gold,7/6/2018,White
442375,9/16/2023,Platinum,6/15/1985,White
442783,5/15/2023,Gold,12/18/2007,Asian
444025,5/28/2023,Platinum,4/8/1997,Black
445531,3/25/2023,Gold,11/1/1963,Black
445532,9/13/2023,Basic,10/8/1972,Black
446540,3/28/2023,Basic,7/22/1950,Other
448076,2/20/2023,Platinum,10/7/1995,White
450210,11/24/2023,Basic,8/24/2018,Other
451214,4/4/2023,Platinum,4/13/1992,White
451570,9/4/2023,Gold,4/21/1974,Other
451936,6/10/2023,Basic,10/22/1958,Asian
458285,3/27/2023,Basic,12/20/2018,Other
458440,6/4/2023,Gold,7/21/1989,White
458824,4/19/2023,Basic,8/3/1967,Asian
459470,5/10/2023,Platinum,9/13/1987,Black
459563,6/6/2023,Gold,3/15/1963,Black
460383,6/29/2023,Basic,8/16/1994,Black
460507,4/28/2023,Platinum,10/28/1945,White
461508,12/2/2023,Gold,7/12/1996,Other
465564,8/26/2023,Platinum,8/12/2015,Asian
465769,7/14/2023,Platinum,2/10/1979,White
466462,6/19/2023,Platinum,5/8/1942,Black
466664,7/16/2023,Basic,5/14/1981,Asian
466954,6/17/2023,Basic,3/5/1955,Black
467340,6/19/2023,Platinum,9/4/1984,White
467374,4/24/2023,Gold,1/3/2006,Black
467421,6/2/2023,Basic,4/12/1975,Asian
467914,1/25/2023,Gold,2/25/1990,Asian
471152,12/15/2023,Platinum,9/29/1990,Asian
471554,1/2/2023,Basic,4/22/1990,White
472221,8/17/2023,Platinum,10/12/1994,White
472457,1/19/2023,Gold,1/30/1991,Black
473692,2/20/2023,Basic,3/23/2012,White
478020,2/27/2023,Gold,5/16/1987,Black
478687,4/5/2023,Platinum,5/13/1999,White
478868,8/15/2023,Gold,10/27/1958,Other
480246,12/8/2023,Platinum,4/13/1982,Asian
481921,7/19/2023,Gold,5/5/1970,Asian
483606,1/14/2023,Platinum,7/3/1941,Other
484119,4/8/2023,Gold,9/30/1974,Other
485343,8/14/2023,Gold,6/21/1945,Other
485637,10/9/2023,Basic,10/20/2001,White
487923,3/22/2023,Platinum,6/28/1990,White
488622,8/31/2023,Gold,2/19/1945,Black
488809,8/23/2023,Platinum,7/24/2004,Black
488942,5/3/2023,Basic,12/2/1958,Other
489429,7/1/2023,Platinum,11/16/2007,Black
489883,7/26/2023,Basic,11/21/1972,Asian
490418,5/2/2023,Basic,9/29/1950,White
490910,1/3/2023,Basic,5/23/1981,White
491387,10/28/2023,Platinum,11/4/2001,Asian
491519,1/10/2023,Gold,4/4/1955,Asian
492316,6/13/2023,Platinum,5/28/1964,Other
494788,11/11/2023,Gold,5/5/1968,Black
494925,10/17/2023,Platinum,11/29/1957,Asian
494955,7/17/2023,Platinum,7/2/1985,Other
496679,6/8/2023,Basic,10/19/1951,Black
497082,5/8/2023,Platinum,1/3/1969,Other
497542,8/22/2023,Gold,5/19/2005,White
497693,9/19/2023,Platinum,3/14/1970,Other
499108,4/11/2023,Platinum,11/21/1949,White
499227,8/3/2023,Gold,9/12/1978,Other
499282,3/18/2023,Platinum,6/14/2019,Other
500741,3/23/2023,Basic,12/26/1955,Other
500890,5/12/2023,Basic,10/15/1958,White
501352,12/22/2023,Basic,6/29/1971,Black
503279,10/17/2023,Gold,4/13/1967,White
503844,6/25/2023,Basic,10/2/1981,Asian
504043,11/5/2023,Basic,4/1/1986,Asian
506007,3/23/2023,Basic,12/1/1979,Asian
506688,4/29/2023,Gold,9/29/2015,Asian
507932,10/29/2023,Platinum,8/15/2005,Asian
509391,5/27/2023,Platinum,11/6/1947,Other
510071,6/13/2023,Platinum,10/10/1992,Other
511264,10/27/2023,Platinum,7/7/1957,Other
511565,12/7/2023,Platinum,3/17/1995,Black
512023,11/16/2023,Gold,4/5/1957,Black
512194,3/13/2023,Gold,4/9/1985,White
512357,9/25/2023,Basic,11/19/2009,White
512509,5/22/2023,Gold,4/16/1991,White
513032,3/26/2023,Basic,1/12/1973,White
514214,5/9/2023,Platinum,7/9/1941,Other
514489,7/10/2023,Basic,5/3/2005,Black
514598,12/28/2023,Platinum,10/10/1971,Other
514864,4/24/2023,Platinum,2/19/1965,Other
516450,7/17/2023,Gold,1/12/1986,Black
520059,5/2/2023,Gold,1/26/1942,Asian
521080,12/27/2023,Platinum,4/26/1999,Black
522270,5/1/2023,Basic,11/21/1940,Black
523380,2/21/2023,Platinum,12/23/1994,Asian
525493,5/21/2023,Platinum,3/28/1976,Other
527503,8/15/2023,Gold,1/8/1967,White
527712,1/2/2023,Platinum,9/27/1996,White
527900,3/20/2023,Gold,10/11/1952,Black
528074,9/13/2023,Gold,5/26/2013,Other
528281,2/22/2023,Basic,12/22/2009,Black
528483,4/26/2023,Platinum,5/3/2010,Black
528606,3/13/2023,Basic,12/3/2014,Other
530288,4/4/2023,Platinum,8/24/1966,Black
531040,11/3/2023,Gold,7/17/1978,White
533119,2/17/2023,Platinum,1/25/1960,White
534142,8/26/2023,Gold,11/9/1954,Black
534626,9/5/2023,Platinum,6/25/1944,White
535172,2/18/2023,Basic,12/23/1964,Asian
535509,3/10/2023,Platinum,9/11/2019,Other
536823,12/11/2023,Gold,6/17/1985,Black
537959,12/12/2023,Gold,10/23/2017,Black
539530,6/20/2023,Basic,3/2/1983,Other
540772,10/1/2023,Gold,5/15/1957,Black
541236,9/12/2023,Gold,4/13/1964,White
543527,10/12/2023,Gold,2/23/2013,Other
543545,1/8/2023,Basic,8/30/1986,Asian
543731,7/25/2023,Gold,5/18/1989,Asian
546446,9/23/2023,Basic,3/31/1973,White
546645,5/24/2023,Gold,9/6/1971,Asian
547679,1/11/2023,Basic,2/7/1949,White
548577,1/23/2023,Basic,5/9/1962,White
548663,12/4/2023,Basic,5/31/1949,Asian
548861,3/24/2023,Platinum,5/3/1962,Other
549243,5/1/2023,Gold,6/7/1947,Black
549280,6/30/2023,Platinum,12/3/1971,Black
549509,4/2/2023,Gold,4/13/1970,White
549892,8/30/2023,Gold,7/5/1959,Asian
551306,10/3/2023,Gold,2/6/2008,White
552566,4/28/2023,Gold,2/4/1950,White
553320,4/13/2023,Gold,3/19/1952,Asian
554004,1/27/2023,Gold,7/20/1997,Asian
554998,12/16/2023,Platinum,11/6/1997,Black
557275,8/9/2023,Platinum,9/9/1999,Other
559179,10/22/2023,Basic,2/18/1979,Other
560261,12/15/2023,Platinum,3/4/1949,Black
560440,6/24/2023,Basic,5/30/1979,Asian
560790,6/1/2023,Basic,5/25/2006,Other
561709,6/30/2023,Basic,11/23/1959,Asian
562722,10/25/2023,Platinum,8/9/2007,Asian
563716,7/11/2023,Platinum,2/3/1989,Asian
564633,6/20/2023,Gold,6/1/2011,Black
567696,9/9/2023,Gold,9/17/1943,Black
568991,1/16/2023,Gold,4/27/1979,White
569494,9/1/2023,Gold,8/30/1976,Black
569694,5/24/2023,Platinum,11/7/2018,Black
569706,3/18/2023,Gold,5/16/2014,Asian
569923,12/4/2023,Gold,12/30/1975,Other
569939,6/15/2023,Gold,12/11/2015,Black
571041,6/7/2023,Basic,4/16/1947,Other
571428,3/8/2023,Platinum,6/23/1965,Black
572462,7/29/2023,Platinum,5/29/1965,Black
575378,11/24/2023,Platinum,4/7/1974,White
577581,10/22/2023,Platinum,6/22/1960,White
580145,1/13/2023,Basic,11/14/2015,Asian
582245,2/20/2023,Platinum,2/17/2012,Other
582577,3/11/2023,Gold,1/24/1999,Black
583851,2/16/2023,Gold,2/26/2006,Other
586258,5/30/2023,Platinum,12/12/2018,Black
587714,12/1/2023,Gold,10/2/1952,White
588390,3/16/2023,Basic,3/22/1950,Black
589251,4/3/2023,Platinum,6/1/1943,White
589567,6/17/2023,Platinum,5/10/1961,Black
591154,1/23/2023,Basic,12/1/2002,Black
591539,7/26/2023,Basic,11/7/1986,White
592566,12/30/2023,Basic,5/8/1989,Asian
593067,8/20/2023,Gold,10/1/2019,Black
593905,10/27/2023,Basic,12/5/1961,Black
593940,7/16/2023,Gold,3/18/1981,Black
594256,12/25/2023,Gold,3/6/1989,Other
594866,4/7/2023,Gold,8/19/2004,White
595254,11/6/2023,Platinum,5/6/1942,Other
595739,4/9/2023,Platinum,6/18/1997,White
596558,1/17/2023,Gold,3/22/1951,Black
596604,1/17/2023,Gold,4/29/2000,Asian
597131,5/24/2023,Gold,5/17/1954,White
597729,7/8/2023,Basic,2/7/1958,Other
598787,2/1/2023,Basic,9/11/1962,Other
598899,9/19/2023,Basic,1/10/1999,Black
601428,6/29/2023,Platinum,12/23/1980,White
601677,11/5/2023,Basic,1/9/1964,Other
602470,12/22/2023,Gold,7/12/2018,Black
602662,1/9/2023,Basic,3/7/1958,Other
603071,6/25/2023,Basic,5/7/1969,Other
604078,8/2/2023,Basic,9/18/1997,Asian
604416,4/24/2023,Gold,6/29/2004,Other
604893,1/4/2023,Platinum,11/10/1959,White
606785,3/16/2023,Basic,8/11/1968,White
606864,2/8/2023,Platinum,10/5/1945,Other
607350,12/22/2023,Gold,5/12/1972,Other
609432,4/13/2023,Platinum,5/28/2009,Other
610159,5/9/2023,Gold,12/5/2005,Black
610368,8/22/2023,Basic,7/15/1965,Other
610633,6/8/2023,Gold,7/13/1993,Black
611755,9/28/2023,Platinum,2/11/1949,Other
611859,1/18/2023,Platinum,12/2/1977,Other
612794,1/29/2023,Basic,11/12/1981,Asian
614858,4/10/2023,Basic,3/24/1977,Other
615502,9/12/2023,Basic,10/1/1973,Asian
618265,3/3/2023,Basic,5/31/1945,Black
618456,8/6/2023,Basic,3/13/2009,Asian
618817,12/30/2023,Gold,12/22/1950,Asian
619806,7/17/2023,Platinum,2/11/1974,Asian
620952,8/30/2023,Platinum,9/5/1979,White
621479,3/22/2023,Basic,1/12/1968,White
621556,6/18/2023,Basic,12/12/2010,White
624601,2/18/2023,Gold,4/20/1991,Other
625189,10/24/2023,Gold,7/19/1985,Other
625210,9/30/2023,Gold,12/23/1995,Other
626975,1/27/2023,Basic,10/4/1948,Black
627428,2/1/2023,Platinum,11/5/2018,White
628443,4/29/2023,Platinum,6/22/1970,Other
628497,6/21/2023,Platinum,10/26/2005,Asian
630270,8/23/2023,Platinum,1/26/1964,Other
